ID,ERTS_number,County,City,Address1,Address2,Location,Latitude,Longitude,Medium,Incident_Category,Source_Type,Source,Oil_type,Quantity_total,QuantityToWater,Quantity_Imp,Quantity_recovered,Activity,Cause_Type,Cause,Regulated,Impact,Date_incident,CaseName,ReportID
256,662086,KING,MAPLE VALLEY,16645 228TH AVE SE,,CEDAR HILLS REGIONAL LANDFILL,47.45497,-122.05347,Wetland - Fresh,"Oil Spill,Vehicular Accident-Oil Spill",Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,35.0,35.0,,30.0,UNDERWAY OR IN MOTION,"UMAN ERROR,UNKNOWN","JUDGMENT, UNKNOWN",N,WATER POLLUTION,1/11/2016,King County Solid Waste Truck Accident,165870
257,662287,CHELAN,WELLS DAM,WELLS DAM,,WELLS DAM,47.943512,-119.86853,Fresh water,Oil Spill,Facility,POWER GENERATION UTILITY,LUBE OIL/MOTOR OIL,2.0,2.0,,,STATIC OR PERFORMING DESIGNED FUNCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/19/2016,Wells Dam Turbine Oil Release,165896
258,662311,COWLITZ,TOUTLE,Spirit Lake Memorial Hwy,,USACE Construction Site Mt St Helens,,,Fresh water,Oil Spill,Vehicle,CONSTRUCTION/UTILITY VEHICLE,HYDRAULIC OIL,1.0,1.0,,1.0,CONSTRUCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,SOIL CONTAMINATION,1/19/2016,USACE/ Catswork Construction Spirit Hwy Tunnel hydraulic spill,165910
259,662260,KING,MERCER ISLAND,5660 E MERCER WAY,,,47.55112,-122.21212,Fresh water,Oil Spill,Private Property,RESIDENTIAL,PAINT (OIL-BASED),10.0,10.0,,,Z- OTHER,HUMAN ERROR,DELIBERATE VIOLATION,N,WATER POLLUTION,1/15/2016,Mercer Island Paint dump 1/15/2016,165946
260,662261,SNOHOMISH,EVERETT,709 N BROADWAY,,,48.007605,-122.195072,Fresh water,Oil Spill,Facility,ABOVEGROUND STORAGE TANK,LUBE OIL/MOTOR OIL,5.0,5.0,,,OIL TRANSFER (NON-FUEL),HUMAN ERROR,FATIGUE/REDUCED ALERTNESS,N,WATER POLLUTION,1/15/2016,WSDOT Everett Oil spill 1/15/2016,165945
261,662325,KING,BOTHELL,12101 NE 160TH ST,,BOTHELL,47.743261,-122.179034,Catch Basin - Wet,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,HYDRAULIC OIL,1.0,1.0,,,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/20/2016,CITY OF BOTHELL SWEEPER SPILL,166345
262,662326,KING,KIRKLAND,14444 124TH AVE NE,,SAFEWAY,47.73231,-122.17556,Catch Basin - Wet,Oil Spill,Vehicle,CONSTRUCTION/UTILITY VEHICLE,HYDRAULIC OIL,10.0,10.0,,5.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",1/20/2016,"KIRKLAND SAFEWAY sweeper truck, oil spill",166344
267,662372,SNOHOMISH,LYNNWOOD,2626 156TH ST SW,,,47.85619,-122.26952,Fresh water,Oil Spill,Private Property,RESIDENTIAL,UNKNOWN,1.0,1.0,,0.0,CONSTRUCTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,1/21/2016,2626 156TH ST SW Lynwood Sheen,171072
268,662386,KING,SEATTLE,S DAWSON ST & 30TH AVE S,,,47.55531,-122.29419,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,HYDRAULIC OIL,5.0,5.0,,,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/21/2016,GARBAGE TRUCK HYDRAULIC OIL RELEASE SEATTLE ERTS 662386,166159
269,662139,KING,SEATTLE,2608 BOYER AVE E,,QUEEN CITY YACHT CLUB,47.64358,-122.31661,Fresh water,Oil Spill,Vessel,RECREATIONAL VESSEL,DIESEL/MARINE GAS OIL,1.0,1.0,,0.0,STATIC OR PERFORMING DESIGNED FUNCTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,1/12/2016,Queen City Yacht Club Sheen,171193
274,662539,KING,BOTHELL,10200 E RIVERSIDE DR,,,47.756553,-122.203708,Fresh water,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,DIESEL/MARINE GAS OIL,1.0,1.0,,,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/28/2016,ERTS # 662539,169744
275,662540,KING,BOTHELL,102ND AVE NE & NE 185TH ST,,,47.7619,-122.204,Fresh water,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,GASOLINE,16.0,16.0,,,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,1/28/2016,Vehicle Incident Gasoline Spill Bothel,176545
277,662577,KING,ISSAQUAH,145 NE GILMAN BLVD,,THE GRANGE,47.53599,-122.03428,Fresh water,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,DIESEL/MARINE GAS OIL,20.0,20.0,,,Z- UNKNOWN,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/29/2016,Diesel Spill City of Issaquah,176547
278,662580,KING,MEDINA,ST RTE 520,,,47.651606,-122.248565,Fresh water,Oil Spill,Unknown,UNKNOWN,DIESEL/MARINE GAS OIL,2.509999990463260,2.509999990463260,,,Z- UNKNOWN,UNKNOWN,UNKNOWN,N,WATER POLLUTION,1/29/2016,Mystery Sheen Lake Washington 1/29/2016,166354
279,662587,WAHKIAKUM,SKAMOKAWA,,,Columbia River RM 33,46.263682,-123.467093,Stream/River,Oil Spill,Vessel,CARGO BARGE,DIESEL/MARINE GAS OIL,20.0,20.0,,0.0,FUELING (VESSEL),HUMAN ERROR,PROCEDURAL ERROR,N,WATER POLLUTION,1/31/2016,MV Mike O'Leary Diesel Fuel Spill,166225
280,662572,SKAGIT,ANACORTES,519 COMMERCIAL AVE,,ANACORTES POST OFFICE,48.518093,-122.61247,Storm Drain Pipe,Oil Spill,Vehicle,CONSTRUCTION/UTILITY VEHICLE,LUBE OIL/MOTOR OIL,5.0,5.0,,0.0,MAINTENANCE/TESTING,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,1/29/2016,ANACORTES POST OFFICE SHEENS,166323
281,662542,KING,SEATTLE,3221 E VALLEY ST,,,47.626199,-122.289517,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,5.0,5.0,,5.0,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,1/28/2016,ERTS 662542,166522
283,662634,KLICKITAT,THE DALLES DAM,THE DALLES DAM,,THE DALLES DAM,45.61433,-121.14011,Fresh water,Oil Spill,Facility,POWER GENERATION UTILITY,OILY WATER MIXTURE,1.0,1.0,,0.0,MAINTENANCE/TESTING,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/28/2016,Dalles Dam Oil to Water,166269
284,662655,KING,BOTHELL,15901 118TH PL NE,,BOTHELL,47.74285,-122.18332,Catch Basin - Wet,Oil Spill,Vehicle,COMMERCIAL TRUCK,HYDRAULIC OIL,1.0,1.0,,,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/2/2016,"Waste Management truck, oil spill, Bothell",166301
285,662658,SNOHOMISH,EVERETT,4030 RUCKER AVE,,ARCO GAS STATION,47.963698,-122.210841,Fresh water,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,GASOLINE,1.0,1.0,,,FUELING (NON-VESSEL),HUMAN ERROR,INATTENTION/DISTRACTION,N,,2/2/2016,Everett Arco Station Gasoline ,166300
286,662108,COWLITZ,TOUTLE,,,Spirit Lake Tunnel,46.26292,-122.16512,Stream/River,Oil Spill,Facility,GOVERNMENT FACILITIES,HYDRAULIC OIL,1.0,1.0,,0.0,CONSTRUCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/11/2016,Hydraulic Oil Spill-Spirit Lake Tunnel,166620
287,662696,KING,KENT,8030 S 216th St,,,47.40857,-122.23085,Fresh water,Oil Spill,Unknown,UNKNOWN,DIESEL/MARINE GAS OIL,1.0,1.0,,1.0,Z-UNKNOWN,UNKNOWN,UNKNOWN,N,WATER POLLUTION,2/3/2016,Kent Unknown Diesel Spill,166358
288,662525,WHATCOM,BELLINGHAM,1401 F ST,,Bellingham,48.755885,-122.486626,Storm Drain Pipe,Oil Spill,Vehicle,COMMERCIAL TRUCK,HYDRAULIC OIL,5.0,5.0,,,CONSTRUCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/26/2016,Bellingham F Street Demo Project Spill,166337
289,662710,LEWIS,RANDLE,Hwy 12,,Between MP 114 1/2 - 115,46.63543,-121.96735,Wetland - Fresh,Vehicular Accident-Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,91.0,91.0,,0.0,UNDERWAY OR IN MOTION,HUMAN ERROR,FATIGUE/REDUCED ALERTNESS,N,WATER POLLUTION,2/4/2016,Cheney Livestock Semi Accident,166351
290,662341,KING,FEDERAL WAY,2102 S 341st Pl,,WOLF TRUCK & TRAILER REPAIR,47.29657,-122.30655,Creek,Oil Spill,Facility,COMMERCIAL/INDUSTRIAL FACILITY,LUBE OIL/MOTOR OIL,10.0,10.0,,0.0,NOT OPERATING OR PERFORMING DESIGNED FUN,ORG/MANAGEMENT FAILURE,INADEQUATE POLICY/PROCED,N,WATER POLLUTION,1/20/2016,WOLF TRUCKING &  TRAILER REPAIR DUMPING,166453
292,662685,KING,KIRKLAND,10402 NE 53rd St,,,47.65556,-122.20141,Catch Basin - Wet,Oil Spill,Unknown,UNKNOWN,UNKNOWN,1.0,1.0,,1.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",2/3/2016,Mystery spill to roadway &  catch basin,166445
294,662021,KING,SEATTLE,2201 Alaskan Way,,,47.61121,-122.3485,Fresh water,Oil Spill,Public Lands,VACANT LAND,UNKNOWN,5.0,5.0,,5.0,STATIC OR PERFORMING DESIGNED FUNCTION,HUMAN ERROR,SABOTAGE/SUSPECTED ILLEGAL ACTIVITY,N,,1/7/2016,ERTS 662021,166518
295,662083,KING,ISSAQUAH,231st Pl SE & SE May Valley Rd,,,47.48207,-122.03261,Fresh water,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,GASOLINE,1.0,1.0,,,UNDERWAY OR IN MOTION,EXTERNAL CONDITIONS,ICE,N,WATER POLLUTION,1/11/2016,Vehicle in Creek Issaquah,166506
296,662093,KING,SEATTLE,1020 SW Spokane St,TERMINAL 18,,47.57151,-122.347,Catch Basin - Wet,Oil Spill,Vehicle,CONSTRUCTION/UTILITY VEHICLE,HYDRAULIC OIL,5.0,5.0,,5.0,STATIC OR PERFORMING DESIGNED FUNCTION,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",1/11/2016,T-18 Container Crane Hydraulic Spill,166510
299,662815,KING,SEATTLE,4850 37TH AVE S,,,47.5584,-122.28597,Catch Basin - Wet,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,20.0,20.0,,20.0,UNDERWAY OR IN MOTION,HUMAN ERROR,INACCURATE COMPUTATION,N,WATER POLLUTION,2/10/2016,Saddle tank rupture Seattle,166527
303,662891,SKAGIT,MOUNT VERNON,I-5 N,,AT STARBIRD EXIT NB,48.30807,-122.31515,Ditch - Wet,Vehicular Accident-Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL LOW SULPHUR (ULSD),5.0,5.0,,5.0,UNDERWAY OR IN MOTION,HUMAN ERROR,JUDGMENT,N,WATER POLLUTION,2/12/2016,GLACIER NW CONCRETE TRUCK ACCIDENT,167857
305,662989,KING,SEATAC,190TH & 28TH,,SEATAC AIRPORT,47.43279,-122.29803,Ditch - Wet,Oil Spill,Facility,GOVERNMENT FACILITIES,HYDRAULIC OIL,5.0,5.0,,,Z- UNKNOWN,UNKNOWN,UNKNOWN,N,WATER POLLUTION,2/17/2016,SeaTac Airport Hydraulic Spill,168006
307,663014,DOUGLAS,ROCK ISLAND DAM,ROCK ISLAND DAM,,ROCK ISLAND DAM,47.34277,-120.09403,Stream/River,Oil Spill,Facility,POWER GENERATION UTILITY,HYDRAULIC OIL,105.0,105.0,,0.0,STATIC OR PERFORMING DESIGNED FUNCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/18/2016,Rock Island Dam Oil to Water,167673
308,662872,PIERCE,PUYALLUP,14300 Meridian Ave E,,Puyallup (Pierce County),47.126507,-122.292531,Storm Water Retention Pond - Wet,Oil Spill,Public Lands,DRUM OR CONTAINER,DIESEL/MARINE GAS OIL,1.0,1.0,,0.0,CONSTRUCTION,"XTERNAL CONDITIONS,HUMAN ERROR","LACK OF SITUATIONAL AWARENESS, RAIN",N,WATER POLLUTION,2/12/2016,BME Diesel and Lube Oil Spill - Puyallup 2-12-16,167758
309,662872,PIERCE,PUYALLUP,14300 Meridian Ave E,,Puyallup (Pierce County),47.126507,-122.292531,Storm Water Retention Pond - Wet,Oil Spill,Public Lands,DRUM OR CONTAINER,LUBE OIL/MOTOR OIL,1.0,1.0,,0.10000000149011600,CONSTRUCTION,"XTERNAL CONDITIONS,HUMAN ERROR","LACK OF SITUATIONAL AWARENESS, RAIN",N,WATER POLLUTION,2/12/2016,BME Diesel and Lube Oil Spill - Puyallup 2-12-16,167758
310,663001,PIERCE,TACOMA,10107 Portland Ave E,,,47.16492,-122.40464,Fresh water,Oil Spill,Facility,COMMERCIAL/INDUSTRIAL FACILITY,LUBE OIL/MOTOR OIL,4.0,4.0,,,STATIC OR PERFORMING DESIGNED FUNCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,"SOIL CONTAMINATION, WATER POLLUTION",2/18/2016,Amello Freight Semi Oil Spill,167703
313,663066,KING,SAMMAMISH,225 PL SE & SE 13TH ST,,,47.598059,-122.039745,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,1.0,1.0,,0.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,CONTAMINATED ROADWAY/PARKING LOT,2/21/2016,ERTS # 663066,168236
317,663156,WHATCOM,FERNDALE,2085 MAIN ST,,,48.847657,-122.594558,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,10.0,10.0,,10.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/23/2016,MCEVOY OIL SPILL FERNDALE,167839
318,663157,KING,SEATTLE,17770 Southcenter Pkwy,,FAMOUS DAVES BBQ,47.44355,-122.26105,Wastewater Treatment Facility,Oil Spill,Facility,COMMERCIAL/INDUSTRIAL FACILITY,GREASE,6.0,6.0,,6.0,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,2/24/2016,FAMOUS DAVE'S BBQ GREASE SPILL TUKWILA,167840
320,662928,SKAGIT,SEDRO WOOLLEY,7245 FRUITDALE RD,,,48.538,-122.221,Fresh water,Oil Spill,Facility,ABOVEGROUND STORAGE TANK,HEATING OIL,50.0,50.0,,30.0,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,2/13/2016,Sedro Woolley Home Heating Oil Spill,167856
321,663205,THURSTON,LACEY,4319 Lacey Blvd,,Lacey Blvd 76,47.037832,-122.829597,Catch Basin - Wet,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,GASOLINE,6.0,6.0,,0.0,FUELING (NON-VESSEL),EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/27/2016,Lacey 76 station overfill,167875
322,663206,PIERCE,LAKEWOOD-PIERCE,8024 S Tacoma Way,,Public Roadway,47.18322,-122.48437,Storm Drain Pipe,Oil Spill,Facility,POWER GENERATION UTILITY,MINERAL OIL/TRANSFORMER OIL,100.0,100.0,,0.0,STATIC OR PERFORMING DESIGNED FUNCTION,"UMAN ERROR,ORG/MANAGEMENT FAILURE","IMPROPER EQUIPMENT USE, INADEQUATE TRAINING",N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",2/28/2016,Lakeview Transformer Oil Spill,167877
323,663213,SKAGIT,CONWAY,CONWAY FRONTAGE RD,,NEAR HILL DITCH,48.341649,-122.339516,Fresh water,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,GASOLINE,5.0,5.0,,0.0,UNDERWAY OR IN MOTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,2/26/2016,MOTORCYCLE ACCIDENT CONWAY,167920
325,663223,KING,SEATTLE,2203 ALASKAN WAY,,,47.610392,-122.348144,Puget Sound,Oil Spill,Vessel,PUBLIC VESSEL,HYDRAULIC OIL,2.0,2.0,,2.0,Z- UNKNOWN,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/27/2016,SEATTLE FIRE BOAT OIL LEAK SEATTLE,167914
326,663226,KING,MERCER ISLAND,4881 FOREST AVE SE,,,47.558431,-122.229932,Fresh water,Oil Spill,Public Lands,HIGHWAY/ROAD,LUBE OIL/MOTOR OIL,3.0,3.0,,2.0,Z- UNKNOWN,HUMAN ERROR,SABOTAGE/SUSPECTED ILLEGAL ACTIVITY,N,WATER POLLUTION,2/28/2016,MERCER ISLAND OIL SPILL,167906
327,663227,KING,SEATTLE,NE PACIFIC PL & MONTLAKE BLVD,,,47.651828,-122.303513,Fresh water,Oil Spill,Vehicle,BUS OR PUBLIC TRANSPORTATION,DIESEL/MARINE GAS OIL,3.0,3.0,,3.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/28/2016,METRO DIESEL LEAK SEATTLE,167905
328,663176,KING,SEATTLE,520 BRIDGE,,UNION BAY,47.645861,-122.278402,Fresh water,Oil Spill,Vessel,RECREATIONAL VESSEL,UNKNOWN,1.2599999904632600,1.2599999904632600,,0.0,UNDERWAY OR IN MOTION,HUMAN ERROR,JUDGMENT,N,WATER POLLUTION,2/25/2016,LAKE WASHINGTON MYSTERY SHEEN,167913
329,663184,THURSTON,OLYMPIA,2700 Evergreen Pkwy NW,,Evergreen College,47.06982,-122.97055,Fresh water,Oil Spill,Facility,GOVERNMENT FACILITIES,OILY WATER MIXTURE,5.0,5.0,,,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/25/2016,Evergreen College Water Main Break ,167977
330,663240,PIERCE,TACOMA,4602 Center St,,Home Depot,47.233,-122.499,Fresh water,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,GASOLINE,10.0,10.0,,,NOT OPERATING OR PERFORMING DESIGNED FUN,HUMAN ERROR,JUDGMENT,N,WATER POLLUTION,2/29/2016,car accident lube/gas spill,167941
332,663009,KING,SEATTLE,1506 19TH AVE,,,47.61437,-122.30722,Storm Drain Pipe,Oil Spill,Vehicle,COMMERCIAL TRUCK,COOLANT,5.0,5.0,,,Z- OTHER,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/18/2016,Coolant Spill Seattle,177611
333,663172,KING,TUKWILA,12400 51ST PL S,,S SEATTLE INTERMODAL YARD,47.493215,-122.270697,Storm Drain Pipe,Oil Spill,Vehicle,COMMERCIAL TRUCK,COOLANT,1.0,1.0,,,Z- OTHER,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,2/25/2016,BNSF Coolant spill 2/25/2016,167973
334,663041,SNOHOMISH,LYNNWOOD,19105 Highway 99,,COSTCO,47.82541,-122.31008,Catch Basin - Wet,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,1.0,1.0,,1.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",2/19/2016,Costco Semitruck Diesel Spill,168102
335,663310,KING,TUKWILA,SOUTHCENTER BLVD & 42ND AVE S,,,47.46594,-122.28117,Fresh water,Oil Spill,Facility,COMMERCIAL/INDUSTRIAL FACILITY,GREASE,2.0,2.0,,,STATIC OR PERFORMING DESIGNED FUNCTION,ORG/MANAGEMENT FAILURE,INSTALLATION,N,WATER POLLUTION,3/2/2016,McDonalds Fat Grease to Storm System,168028
336,663314,KING,BELLEVUE,4341 HUNTS POINT RD,,,47.65091,-122.23005,Storm Drain Pipe,Oil Spill,Facility,CONSTRUCTION SITE,HYDRAULIC OIL,1.0,1.0,,1.0,CONSTRUCTION,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,3/2/2016,DLH INC Concrete Cutter Hydraulic Spill Bellevue,168029
337,663314,KING,BELLEVUE,4341 HUNTS POINT RD,,,47.65091,-122.23005,Lake,Oil Spill,Facility,CONSTRUCTION SITE,HYDRAULIC OIL,1.0,1.0,,,CONSTRUCTION,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,3/2/2016,DLH INC Concrete Cutter Hydraulic Spill Bellevue,168029
338,662925,SAN JUAN,LOPEZ ISLAND,1400 FISHERMAN BAY RD,,,48.535,-122.905,Fresh water,Oil Spill,Private Property,ABOVEGROUND STORAGE TANK,DIESEL/MARINE GAS OIL,50.0,50.0,,,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,STRUCTURAL FAILURE,N,WATER POLLUTION,2/1/2016,Lopez Island AST Diesel Spill,168035
